3  de  enero  2013,Boletín Oficial de la Junta de Andalucía ,Núm. 2  página 103,,,
662 Inversiones propias de reposición,,,8.000.000,8.000.000,
TOTAL CAPITULO 6º,2.485.000,47.161.673,36.754.122,86.400.795,
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,,,,,
"780,05  Plan Propio para Promoción del Autoempleo","250,000",,,,"250,000"
784 Ayudas diversas Consejo Social,,,"12,000",,"12,000"
"785,09 A otras Instituciones. Parque de las Ciencias",,,"125,000",,"125,000"
TOTAL CAPITULO 7º,"250,000",0,"137,000",,"387,000"
CAPITULO 8º. ACTIVOS FINANCIEROS,,,,,
831.00 Anticipos y préstamos a Personal Universidad G.A.S.,"650,000",,,,"650,000"
"831,01 Linea especial de anticipos","500,000",,,,"500,000"
TOTAL CAPITULO 8º,1.150.000,0,0,1.150.000,
CAPITULO 9º. PASIVOS FINANCIEROS,,,,,
911 Amortización de préstamos a largo plazo. Sector Público,,,1.127.217,1.127.217,
TOTAL CAPITULO 9º,0,0,1.127.217,1.127.217,
TOTAL OPERACIONES CAPITAL,3.885.000,47.161.673,38.018.339,89.065.012,?
