32,,Ingresos por prestación de servicios,,,8.850.000,,,
,,320 Derechos matrícula cursos y seminarios,,2.625.000,,,,
,,32000 Estudios de Extensión Universitaria,"75,000",,,,,
,,32002 Centro de Actividades Deportivas,"300,000",,,,,
,,32003 Cursos propios de Postgrado,1.500.000,,,,,
,,"32008 Inscripciones jornadas,congresos","300,000",,,,,
,,32010 Centro Mediterráneo,"150,000",,,,,
,,32011 Aula Permanente Formación Abierta,"50,000",,,,,
,,32099 Otros Cursos y Seminarios,"250,000",,,,,
,323,Contratos artículo 83 LOU,,2.875.000,,,,
,,32300 Contratos OTRI,2.500.000,,,,,
,,32302 Contratos Fundación Univ.Empresa,"375,000",,,,,
,324,Unidades de apoyo a la investigación,,"250,000",,,,
,,32400 Centro Instrumentación Científica,"250,000",,,,,
,325,"Alojamiento, restauración y residencias",,3.000.000,,,,
,,32500 Colegio Mayor Isabel la Católica,"700,000",,,,,
,,32501 Comedores universitarios,2.100.000,,,,,
,,32503 Residencia Corrala de Santiago,"100,000",,,,,
,,32504 Residencia Carmen de la Victoria,"100,000",,,,,
,329,Otros ingresos por prestación de servicios,,"100,000",,,,
,,32999 Otros por prestación de servicios,"100,000",,,,,
33,Venta de bienes,,,,"250,000",,,
,330,Publicaciones propias,,"250,000",,,,
,,33000 Libros y revistas Editorial Universit.,"250,000",,,,,
39,Otros Ingresos,,,,"75,000",,,
,399,Ingresos diversos,,"75,000",,,,
,,39900 Reintegro anuncios adjudicatarios,"25,000",,,,,
,,39999 Otros Ingresos,"50,000",?,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3  de  enero  2013,,Boletín Oficial de la Junta de Andalucía ,,,Núm. 2  página 107,,,
,,ESTADO DE INGRESOS,,,,,,
,Capítulo 4º,,Detalle por subconcepto,,,,,
,Clasificación económica,,Importes,,,,,
Cap.,Art.  Concp  Subconc,Denominación,Subconc     Concp,Art.,Cap.,,,
4,Transferencias corrientes,,,,278.533.607,,,
40,De la Administración General del Estado,,,10.600.000,,,,
400,Del Ministerio de Educación,,10.500.000,,,,,
,40000 Financiación coste Ceuta y Melilla,,8.500.000,,,,,
,40003 Programas Europeos de movilidad,,2.000.000,,,,,
401,De otros Ministerios,,"100,000",,,,,
,40100 Financiación operaciones corrientes,,"100,000",,,,,
41,De Organismos Autónomos Administrativos,,,"70,000",,,,
,410 De Organismos autónomos estatales,,"20,000",,,,,
,41009 Del IMSERSO,,"20,000",,,,,
,411 De Organismos autónomos Junta Andalucía,,"50,000",,,,,
,41113 Instituto Andaluz de la Juventud,,"50,000",,,,,
42,De la Seguridad Social,,,3.000.000,,,,
,421 Del Servicio Andaluz de Salud,,3.000.000,,,,,
,42100 Plazas vinculadas. C.Específico,,3.000.000,,,,,
45,De Comunidades Autónomas,,,259.498.607,,,,
450,Consej.Innovación Ciencia y Empresa. J.And,,259.083.607,,,,,
,45000 Financiación operativa estructural,,204.719.518,,,,,
,45001 Financ. Operativa vincul. resultados,,46.866.897,,,,,
,45002 Al Consejo Social,,"107,193",,,,,
,45004 Planes de apoyo  PRAEM,,"425,000",,,,,
,45005 Planes de apoyo Estudiantes y EEES,,5.050.000,,,,,
,45007 Otros Planes de apoyo,,1.915.000,,,,,
451,De otras Consejerías,,"395,000",,,,,
,45100 De Presidencia,,"50,000",,,,,
,45101 De Gobernación,,"30,000",,,,,
,45103 De Justicia y Administraciones Públic,,"30,000",,,,,
,45105 De Empleo,,"75,000",,,,,
,"45106 De Turismo, Comercio y Deporte",,"60,000",,,,,
,45110 De Igualdad y Bienestar Social,,"75,000",,,,,
,45111 De Cultura,,"75,000",,,,,
459,De otras Comunidades Autónomas,,"20,000",,,,,
,45902 De la Ciudad Autónoma de Ceuta,,"20,000",,,,,
46,De Corporaciones Locales,,,"90,000",,,,
,460 De Diputaciones y Cabildos Insulares,,"30,000",,,,,
,46000 De la Diputación de Granada,,"30,000",,,,,
461,De Ayuntamientos,,"60,000",,,,,
,46100 Del Ayuntamiento de Granada,,"30,000",,,,,
,46199 De otros Ayuntamientos,,"30,000",,,,,
47,De empresas privadas,,,1.275.000,,,,
470,De entidades financieras,,"950,000",,,,,
,47001 De Caja Granada según Convenio,,"450,000",,,,,
,47002 Del BSCH según Convenio,,"500,000",,,,,
,479 De otras empresas,,"325,000",,,,,
,47900 Para prácticas educativas,,"250,000",,,,,
,47901 Para actividades académicas,,"75,000",,,,,
49,Del exterior,,,4.000.000,,,,
495,Otras transferencias de la Unión Europea,,4.000.000,,,,,
,49500 Para programas europeos,,4.000.000,?,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Núm. 2  página 108,,,Boletín Oficial de la Junta de Andalucía ,,,3  de  enero  2013,
,,Capítulo 5º,,,Detalle por subconcepto,,,
,,,Clasificación económica,,Importes,,,
Cap.,Art.,Concp Subconc,Denominación,Subconc,Concp,Art.,Cap.,
,5,Ingresos Patrimoniales,,,,,1.506.000,
,52,Intereses de depósitos,,,,"500,000",,
,,520,Intereses de cuentas bancarias,,"500,000",,,
,,,52000 De Caja Granada,"200,000",,,,
,,,52001 De otras cuentas y depósitos,"300,000",,,,
,,54 Rentas de bienes inmuebles,,,,"600,000",,
,,541,Alquiler y productos de inmuebles,,"600,000",,,
,,,54101 Instalaciones deportivas,"500,000",,,,
,,,54102 Aulas y otros recintos universitarios,"100,000",,,,
,55,,Producto de concesiones y aprov.especiales,,,"400,000",,
,,551,De concesiones administrativas,"400,000","400,000",,,
,59,Otros ingresos patrimoniales,,,,"6,000",,
,,591 Explotación de patentes,,,"6,000",,,
,,,59100 Licencias y explotación de patentes,"6,000",?,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3  de  enero  2013,Boletín Oficial de la Junta de Andalucía ,,,,Núm. 2  página 109,,,
,ESTADO DE INGRESOS,,,,,,,
Capítulo 7º,,,Detalle por subconcepto,,,,,
,Clasificación económica,,Importes,,,,,
Cap. Art. Concp  Subconc,Denominación,Subconc,Concp,Art.,Cap.,,,
7,Transferencias de capital,,,,58.933.000,,,
70,De la Administración General del Estado,,,22.245.000,,,,
700,Del Ministerio Educación,,21.900.000,,,,,
,70000 Para investigación científica,17.000.000,,,,,,
,70007 Cofinanciación Progr.Operativ.FEDER,4.900.000,,,,,,
,701 De otros Ministerios,,"95,000",,,,,
,70100 Para investigación científica,"95,000",,,,,,
702,Del Ministerio de Ciencia e Innovación,,"250,000",,,,,
,70200  INNPLANTA Conv. 2012,"250,000",,,,,,
71,De Organismos Autónomos Administrativos,,,"693,000",,,,
,710 De Organismos autónomos estatales,,"593,000",,,,,
,71000 Del Instituto de Salud Carlos III,"150,000",,,,,,
,71001 Del Instituto de la Mujer,"35,000",,,,,,
,71002 Del Instituto Nacional Invest.Agrarias,"40,000",,,,,,
,71003 Del Consejo Superior de Deportes,"18,000",,,,,,
,71004 De la A.E.C.I.,"200,000",,,,,,
,71005 Del C.S.I.C.,"150,000",,,,,,
,711 De Organismos autónomos Junta Andalucía,,"100,000",,,,,
,71101 Instituto Andaluz de la Mujer,"50,000",,,,,,
,71102 Instituto Estadística de Andalucía,"50,000",,,,,,
74,De empresas públicas y otros entes públicos,,,"400,000",,,,
,740 De Otros Organismos,,"200,000",,,,,
,74001 De otros organismos,"50,000",,,,,,
,74099 De Otros Entes Públicos,"150,000",,,,,,
,741 De Universidades,,"200,000",,,,,
,74100 De Universidades Andaluzas,"50,000",,,,,,
,74199 De Otras Universidades,"150,000",,,,,,
75,De Comunidades Autónomas,,,30.465.000,,,,
750,Consej.Economía Innovación y  Ciencia J.A.,,30.100.000,,,,,
,75000 Para investigación científica,8.000.000,,,,,,
,75001 Plan Plurianual de Inversiones,20.000.000,,,,,,
,75002 Cofinanciación Progr.Operativ.FEDER,2.100.000,,,,,,
,75003 Proyecto Universidad Digital,,,,,,,
,75007 Financ Operat Investig,,,,,,,
,75008 CEI Fortalecimiento,,,,,,,
751,De otras Consejerías,,"340,000",,,,,
,75100 De Presidencia,"25,000",,,,,,
,75101 De Gobernación,"25,000",,,,,,
,75102 De Educación,"25,000",,,,,,
,75103 De Justicia y Administraciones Públic,"25,000",,,,,,
,75105 De Empleo,"200,000",,,,,,
,75110 De Igualdad y Bienestar Social,"20,000",,,,,,
,75111 De Cultura,"20,000",,,,,,
759,De otras Comunidades Autónomas,,"25,000",,,,,
,75909 De resto de Comunidades Autónomas,"25,000",,,,,,
76,De Corporaciones Locales,,,"30,000",,,,
,760 De Diputaciones y Cabildos Insulares,,"20,000",,,,,
,76000 De la Diputación de Granada,"10,000",,,,,,
,76099 De otras Diputaciones Provinciales,"10,000",,,,,,
761,De Ayuntamientos,,"10,000",,,,,
,76100 Del Ayuntamiento de Granada,"10,000",,,,,,
77,De empresas privadas,,,1.400.000,,,,
770,De entidades financieras,,1.200.000,,,,,
,77001 De Caja Granada,"450,000",,,,,,
,77002 Del BSCH,"500,000",,,,,,
,77003 De Caja Rural,"250,000",,,,,,
,779 De otras empresas,"200,000","200,000",,,,,
78,De familias e instituciones sin fines de lucro,,,"200,000",,,,
781,De instituciones y fundaciones,,"200,000",,,,,
,78100 Para investigación científica,"200,000",,,,,,
79,Del exterior,,,3.500.000,,,,
795,Otras transferencias de la Unión Europea,,3.500.000,,,,,
,79500 Para investigación científica,3.500.000,?,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Núm. 2  página 110,,,,Boletín Oficial de la Junta de Andalucía ,,,3  de  enero  2013
,,,,,ESTADO DE INGRESOS,,,
,,Capítulo 8º,,,,Detalle por subconcepto,,
,,,Clasificación económica,,,Importes,,
Cap.,Art.,Concp,Subconc,Denominación,Subconc,Concp,Art.,Cap.
8,,Activos financieros,,,,,,"650,000"
,82,,Reintegro de préstamos concedidos,,,,"650,000",
,,821,A largo plazo,,,"650,000",,
,,,82100 Del personal de la Universidad,,"650,000",,,?
